Tean UCC operations, DDos,
Garuna Opt, DDos
Indian Cyber Force, Ddos
SilentOne, DDos
Kerala Cyber Xtractors
Gaza Parking Lot Crew, Hack
AnonyMiss, DDos,
Termux Israel, [DDos,Hack]
Silencer of Evil, Hack
Israel Cyber Defense, DDos
